0:02.6 - 0:03.6	Interviewer: Goedemorgen.	
37:33.1 - 37:41.7	T3NL: It has the same tone as the the translated part hat, so that you don't have like that doesn't feel like that has been split in half.	
37:43.6 - 37:50.6	T3NL: And because I let go of the source text in my final translation and just really worked with the.	
37:52.4 - 37:58.4	T3NL: With the idea of how is this set in Dutch when going through the final post-editing.	
38:00.6 - 38:07.3	T3NL: i'm hoping that it just really continued the flow and the tone, I used in the actual translation so.	
38:07.6 - 38:10.1	Interviewer: So that they wouldn't notice.	
38:10.3 - 38:15.4	T3NL: No, but that's what I didn't really like about the about the program that I couldn't.	
38:17.0 - 38:25.4	T3NL: Get once I changed something in the in the machine translation I couldn't find any more what it was before then.	
38:26.6 - 38:32.8	T3NL: Maybe I changed something and then on the later revision, maybe I changed it back I don't know.	
38:36.0 - 38:36.8	T3NL: um.	
38:38.2 - 38:41.9	T3NL: So yeah so i'm hoping that I really kept the same.	
38:43.3 - 38:44.4	T3NL: tone of voice.	
38:45.4 - 38:56.5	T3NL: In the post-editing as well, and I think the what what people will find in a in a translation that has been done completely by a translator that if it's been translated...	
38:57.8 - 39:02.9	T3NL: Well, that they will it will all be in the same style and.	
39:04.4 - 39:06.1	T3NL: You shouldn't have any sort of.	
39:09.3 - 39:15.7	T3NL: The text going one way than the other way and she just really sort of follow a certain line I guess.	
39:17.1 - 39:22.3	T3NL: Because it's quite a short text so a translator should be able to maintain that.	
39:23.5 - 39:24.4	Maintain that.	
39:26.9 - 39:32.2	Interviewer: If if publishing houses were to use MT.	
39:33.2 - 39:39.5	Interviewer: To translate certain books, what do you think would be the long term effect.	
39:40.3 - 39:41.9	T3NL: I think that's.	
39:46.1 - 40:06.7	T3NL: I think that we would use a part of our language, I think that, because I, as a translator use a certain corpus of language that I know that I have heard that I have read and machine translation uses a corpus as well, but it will, I think, use.	
40:07.8 - 40:18.3	T3NL: or make decisions based on frequency quite often, so the exceptions words that you, you only use every.	
40:19.9 - 40:26.6	T3NL: every once in once in a while, or certain phrases of certain sayings that they might get lost.	
40:27.8 - 40:38.6	T3NL: because their frequency becomes less and less once you get more machines, but I do believe that in about 30 years we won't have translators anymore, I think so.	
40:38.9 - 40:39.8	Interviewer: Oh, really.	
40:39.8 - 40:40.3	T3NL: yeah.	
40:40.3 - 40:42.2	Interviewer: Even for literature?	
40:43.5 - 40:49.6	T3NL: I think it will at some point be machine translations being post-edited yes.	
40:50.8 - 40:51.8	Interviewer: Post-edited.	
40:51.9 - 40:57.4	Interviewer: Okay yeah but how do you feel that would impact the language, then, if everything is post-edited.	
40:58.5 - 41:04.6	T3NL: I think um it goes if I look at my editors they won't.	
41:05.8 - 41:06.9	T3NL: Really.	
41:09.2 - 41:16.8	T3NL: Sometimes i'm thinking How can an editor have missed this really weird weird thing I wrote down, so I think.	
41:19.2 - 41:23.3	T3NL: You will be lulled into some sort of.	
41:25.2 - 41:30.5	T3NL: Generic language that is that is used and and.	
41:32.0 - 41:33.2	T3NL: sort of lose.	
41:34.6 - 41:47.5	T3NL: lose sort of all the the enormous variety of possibilities of language, I think it will sort of narrow down into more once it starts to narrow down what only narrow down more.	
41:48.8 - 41:52.6	T3NL: I think that that might be an effect, I have no idea, but this is just.	
41:52.6 - 41:53.7	Interviewer: Of course, of course.	
41:53.7 - 42:08.7	Interviewer: yeah and when you translate we are coming here to an end when you translate do you use say, for example, Google translator or DeepL or Linguee or any other tool to translate.	
42:08.9 - 42:23.8	T3NL: Linguee, sometimes to if it's if it's about terminology I don't really I don't know how to fit that into a certain context, so I will never use it for a sentence.	
42:25.6 - 42:27.9	T3NL: But I will use it for.	
42:32.3 - 42:37.1	T3NL: Like what was our unit, I might even have used it for what something in this text.	
42:37.8 - 42:39.5	Interviewer: This is Linguee or DeepL.	
42:40.1 - 42:40.7	T3NL: Linguee.	
42:40.9 - 42:42.2	T3NL: Linguee yeah.	
42:43.3 - 42:44.4	T3NL: Linguee uses DeepL.	
42:45.4 - 42:51.5	Interviewer: A yeah more DeepL uses the corpus from Linguee.	
42:51.8 - 42:54.9	Interviewer: In the end Linguee is parallel text.	
42:55.0 - 42:55.4	T3NL: Okay.	
42:55.4 - 43:00.2	Interviewer: yeah they are showing you right yeah .	
43:00.3 - 43:03.1	T3NL: I also what I find about Linguee is that they use a lot of it seems like machine translations as well.	
43:03.8 - 43:05.0	Interviewer: Possibly...	
43:05.0 - 43:13.7	T3NL: yeah so so that is why no I can't depend on that it just sort of to see what context, these these words I sort of used.	
43:13.9 - 43:17.2	Interviewer: Linguee normally at the bottom, it has the source.	
43:17.2 - 43:24.2	T3NL: yeah yeah it does, but like the if it's a Dutch website, for instance, they might just as well use a.	
43:24.2 - 43:32.2	T3NL: Yeah like, for instance Ali express or something it's also based on Linguee, and Alex once uses machine translation.	
43:32.4 - 43:34.6	T3NL: But they will appear on Linguee.	
43:35.0 - 43:50.3	T3NL: So I am I use it, but with caution, because I think it might be correct, but it might just be a machine translation and especially when it's about terminology that we don't actually have a Dutch word for.	
43:50.8 - 43:57.9	T3NL: or an expression, then with expressions, they tend to translate quite literal.	
43:58.6 - 44:07.9	T3NL: And with terminology, they might find something similar or, for instance, at some point, I was thought I was asked to do something that wasn't a roofer.	
44:08.2 - 44:21.5	T3NL: In the text was working with shingles and I was thinking Oh, do we use this word or this word or this word for shingles and then, I came across texts about roofs but then with the shingles as a rash.	
44:22.5 - 44:29.7	T3NL: insert into the text, and this was on Linguee or something like that so it's it's a lot of it has not been post edited I would think.	
44:30.4 - 44:30.8	Right.	
44:33.0 - 44:33.5	Interviewer: yeah.	
44:33.8 - 44:35.6	T3NL: So, so I do use it, but.	
44:36.0 - 44:38.6	T3NL: i'm never as a final answer.	
44:39.6 - 44:40.2	T3NL: I think.	
44:40.8 - 44:41.0	You know.	
44:42.2 - 44:45.7	Interviewer: If you were if you had a magic wand or.	
44:46.7 - 45:00.9	Interviewer: If you could How would you like MT to be or how would you like technology to be or how How would how could MT or technology help you.	
45:02.6 - 45:08.0	Interviewer: In the case of a literary translator What would you like to have if anything.	
45:08.9 - 45:21.2	T3NL: I would really like it, I think we should already have programs like MemoQ, to be sort of warned about certain sentence structures and.	
45:22.5 - 45:23.2	T3NL: How.	
45:24.7 - 45:29.2	T3NL: Certain word combinations are used, because sometimes, especially when you have like a very.	
45:32.9 - 45:44.6	T3NL: very long novel to translate you might sort of miss out on certain references to something that's been said earlier, or some certain phrasings so rapid repetitions and phrasing.	
45:46.1 - 45:46.7	T3NL: I was.	
45:47.8 - 45:59.7	T3NL: I was talking with my students and I had them translate this very short story and only when I was sort of it was part of a much bigger novel, but when I was.	
46:02.8 - 46:20.3	T3NL: Revising their translations I realized oh wait there's a motive in this story I had already found the theme, but the motive only appeared to me on reading it 8th time in in in revising, so I think it might.	
46:22.0 - 46:24.0	T3NL: sort of if it were to.	
46:27.9 - 46:36.9	T3NL: sort of warrant you for certain occurrences in in word choice or phrasing I think that would be really helpful um.	
46:38.0 - 46:38.7	T3NL: and	
46:45.0 - 46:45.9	T3NL: i'm.	
46:51.3 - 46:52.0	T3NL: I don't know.	
47:04.7 - 47:06.2	T3NL: I don't know actually because.	
47:08.2 - 47:19.4	T3NL: Good aid, and I mean i've used it for languages, I don't know and then to have a sort of first impression of the text to.	
47:20.4 - 47:21.2	T3NL: to know.	
47:22.5 - 47:26.2	T3NL: Because, sometimes I will I was translating something from.	
47:27.7 - 47:36.2	T3NL: Ukraine Ukrainian texts that have been translated into really poor English, and so I use a German translation.	
47:36.8 - 47:55.5	T3NL: Of the Ukrainian texts, and then I use Google translate to see if I understood the German translation correctly, because the English translator of the Ukrainian text her English was not good enough to come up with a good solution so and I found that really, really helpful so.	
47:57.2 - 47:59.6	T3NL: So basically to get the gist, but I think if.	
48:01.2 - 48:07.9	T3NL: I think machine translations do help you understand the gist but I don't think they will help you understand the finesse of the writer.	
48:09.3 - 48:28.3	T3NL: I think it's it's more about that, and so, if you have something that is already sort of producing a text for you like, I said, you can be fooled so easily as a translator into or lulls into a certain feeling of security that this is a correct translation, when in fact it's not so.	
48:29.8 - 48:36.6	T3NL: yeah but, oh no that was not the question, the question is, how would have been if I had a magic wand, I would like it to.	
48:43.3 - 48:44.0	T3NL: well.	
48:52.1 - 48:56.0	T3NL: What we're really helpful something i'm struggling with with my current.	
48:58.3 - 49:02.2	T3NL: novel is that I don't know how.	
49:03.7 - 49:15.8	T3NL: The state is of certain words and phrases in the American English so, for instance, if something is really rude or just a generic.	
49:19.4 - 49:20.6	T3NL: curse or if it's.	
49:23.2 - 49:27.9	T3NL: Like a lot of sayings in this text are very local.	
49:28.4 - 49:29.4	T3NL: So you get the.	
49:29.5 - 49:51.4	T3NL: gist of what they mean, but you really need native speakers of this from a certain area to get or or the writer it to explain it to you what the actual what which means into detail so that will be really helpful, especially because a lot of my time goes into research.	
49:53.0 - 49:57.2	Interviewer: More on the source text so technology to analyze the source text.	
49:57.2 - 49:57.9	Interviewer: More than there.	
49:58.5 - 49:58.8	yeah.	
50:00.1 - 50:16.0	T3NL: yeah think more for yeah but that might be just my arrogance thinking, I know better, because they do believe that computers are capable of so many things much more than we we can ever imagine so.	
50:16.5 - 50:21.0	Interviewer: Well you have seen what a machine can do here with the text in Dutch.	
50:21.4 - 50:21.9	yeah.	
50:25.5 - 50:29.2	T3NL: yeah I think it will only get better it will get better every year.	
50:30.3 - 50:35.0	T3NL: And will get better and higher speed than the previous year, so.	
50:36.3 - 50:39.8	T3NL: But like I said, I do think that, in the end it will sort of.	
50:42.2 - 50:57.4	T3NL: flatten the language, somehow, like all the the I can't come up with the English word we say "uit***" so everything that is sort of not in the normal vernacular but everything that is sort of that stands out.	
50:58.7 - 51:00.4	T3NL: I think those things will get lost.	
51:00.4 - 51:01.4	Interviewer: At some point.	
51:01.9 - 51:03.3	T3NL: It will, it will be.	
51:05.9 - 51:06.3	T3NL: traveling.	
51:06.4 - 51:11.4	Interviewer: What does that mean for the brain, what does that mean for the future generations then.	
51:11.8 - 51:14.8	T3NL: I think that we will be challenged less and less.	
51:16.6 - 51:18.1	T3NL: I think that might be.	
51:19.1 - 51:22.8	T3NL: Because we are all affected by our inputs.	
51:23.6 - 51:24.3	Interviewer: And, of course.	
51:24.5 - 51:26.1	T3NL: And if our input becomes.	
51:27.5 - 51:34.3	T3NL: A more generic than our what our output becomes becomes that as well, I think.	
51:37.3 - 51:54.8	T3NL: that's what I really like about, for instance Shakespeare that he came up with so many expressions that are now that i've still being used and and just through his creativity and there's also getting the worst thing to translate or having to translate as a.	
51:56.6 - 52:01.6	T3NL: into documents and because it doesn't have that same connotation in Dutch.	
52:02.5 - 52:12.4	T3NL: it's always sort of are you going to do, choose form over meaning, or do you choose meaning over connotation, or what it's just.	
52:14.9 - 52:18.5	T3NL: But that's also what makes it really, really fun to.	
52:19.8 - 52:33.3	T3NL: To try and put every aspect of the source text into the into the translation, and if you can't to see if you if there's any way you can compensate somewhere else and i'm thinking would a machine ever try and compensate ...	
52:35.4 - 52:56.0	T3NL: Some sort of wordplay that he lost in in one place, because there is no double meaning or innuendo or there is no alliteration going on Will he will the computer than think Oh, but wait we're two paragraphs down, but here, this is a ideal place for a word play I don't know.	
52:56.3 - 52:57.1	T3NL: And if it does.	
52:57.6 - 53:04.0	T3NL: Is it then still does it still do justice to the source text and to the writer of the source text so.	
53:05.2 - 53:05.6	T3NL: yeah.	
53:06.4 - 53:06.8	yeah.	
53:08.8 - 53:14.9	Interviewer: Is there anything I say you would like to add about our conversation or the process.	
53:16.8 - 53:18.8	T3NL: No, I would love to translate more Vonnegut.	
53:21.4 - 53:21.7	Interviewer: me, too.	
53:23.3 - 53:25.7	T3NL: I just like never thought I would translate.	
53:25.7 - 53:29.4	T3NL: Good one good one, this was so much fun so.	
53:29.5 - 53:31.6	Interviewer: You should propose this to a publisher.	
53:31.9 - 53:37.1	T3NL: yeah perhaps, but this is like from a series of short stories.	
53:38.1 - 53:41.6	T3NL: Okay, so yeah I might propose.	
53:41.7 - 53:45.2	Interviewer: That appeared first individually in our magazine.	
53:45.5 - 53:51.4	Interviewer: And then, as part of a book that is called I tell you now and.	
53:56.2 - 53:58.2	Interviewer: Because I was writing this.	
53:59.6 - 54:01.6	Interviewer: I could have lost it already.	
54:05.4 - 54:05.8	here.	
54:08.0 - 54:08.5	Interviewer: So.	
54:10.9 - 54:16.4	Interviewer: So now respect of the collection bagombo snuff box, let me put this.	
54:17.3 - 54:18.8	Interviewer: One yeah.	
54:18.8 - 54:20.4	T3NL: I know it's not books.	
54:20.6 - 54:22.8	Interviewer: that's that's Vonnegut for you.	
54:24.4 - 54:25.5	Interviewer: So this this.	
54:28.1 - 54:30.0	T3NL: Oh yeah yeah.	
54:30.8 - 54:34.0	Interviewer: So i'm going to stop them the recording okay.	
54:36.0 - 54:37.3	T3NL: Magombo snuff box.	
