0:02.6 - 0:04.9	Interviewer: So we are recording now Hello.	
34:59.5 - 35:10.6	R3CA: i'm really thinking well that that was that was a really nice solution, something that maybe I could just take note of just to for my translations, because it was it was really, really good yeah.	
35:11.1 - 35:15.9	Interviewer: They I think the difference is that they were the same translators, but.	
35:15.9 - 35:20.0	Interviewer: In different modalities that's when it's maybe surprising for you.	
35:20.2 - 35:27.4	R3CA: huh yeah yeah I didn't know that that the two same people had worked on, you know, on that for sure.	
35:27.5 - 35:29.6	Interviewer: I thought that you know.	
35:29.7 - 35:35.3	R3CA: That it was just one for A and one for C and then machine B and someone had retouched.	
35:36.1 - 35:37.4	R3CA: or whatever.	
35:37.5 - 35:41.9	Interviewer: So as a translator if you could.	
35:44.0 - 35:44.2	Interviewer: Ask.	
35:44.7 - 35:46.8	Interviewer: Or if you had a magic wand.	
35:47.2 - 35:48.4	Interviewer: What do you think.	
35:48.7 - 35:53.5	Interviewer: machine translation technology or technology.	
35:53.7 - 35:54.9	Interviewer: should have.	
35:56.9 - 35:57.8	Interviewer: and	
35:58.8 - 36:04.6	Interviewer: What would you like to have in MT technology or technology as a translator.	
36:05.3 - 36:07.0	R3CA: So what kind of aid you mean.	
36:07.4 - 36:07.7	Interviewer: yeah.	
36:07.8 - 36:11.3	Interviewer: I know what How would you like it to be.	
36:12.5 - 36:12.8	R3CA: hmm.	
36:13.8 - 36:15.3	R3CA: I don't know the thing is not.	
36:17.2 - 36:23.4	R3CA: Ah, I see it, a little bit far from you know from.	
36:25.1 - 36:37.0	R3CA: producing very high quality tech So for me right now, when I do post-editing, as I said, I don't really feel that free so.	
36:38.8 - 36:50.6	R3CA: I wouldn't use it right now what obviously depends on the on the on the engine...if the engine is very good and the corpus and whatever that you feed the machine with is very good, then, then you probably you think twice, but.	
36:51.8 - 36:57.2	R3CA: What could have I don't know, I would ask more naturalaty	
36:59.3 - 37:02.0	R3CA: That had like lots of.	
37:03.5 - 37:08.0	R3CA: But it's really difficult because, when someone writes a text literally text.	
37:10.0 - 37:26.4	R3CA: You can't ... you can't expect that person to to like use lots of expression, so I don't know if I know it's very difficult to say if to have a good database of expressions natural equivalents but how did you get that right, I mean.	
37:26.9 - 37:28.4	Interviewer: When we can only ask.	
37:30.9 - 37:32.8	R3CA: Other know I would have to think about the one.	
37:33.2 - 37:34.9	R3CA: Just like from that I don't know.	
37:36.3 - 37:44.9	Interviewer: To make your work better or more creative for which you want to have in technology.	
37:46.3 - 37:49.6	R3CA: The things that either know what technology can do for me right.	
37:49.6 - 37:50.9	Interviewer: I mean I don't know that's what I.	
37:52.0 - 37:53.9	Interviewer: that's what we can dream here.	
37:54.0 - 37:59.6	R3CA: Yes, yeah that was yeah that that's that's for free at the moment um I don't know.	
38:00.8 - 38:10.1	R3CA: Maybe equivalents for everything that you could be that maybe you could be like able to choose.	
38:10.7 - 38:18.6	R3CA: Between like lots of options when you're translating something that detects when you're being maybe too literal.	
38:19.4 - 38:26.9	R3CA: Maybe that could be one like careful with these with this structure like to avoid some basic things because.	
38:27.7 - 38:36.6	R3CA: When I read, sometimes I read a lot of translations and you see wow this text is good, but maybe this is a little bit too literal and could have been like in expressed in another way.	
38:37.2 - 38:42.8	R3CA: Maybe machine translation or or a program like that would could offer you this possibility of.	
38:43.4 - 38:54.5	R3CA: there's a structure, maybe you can use or there's something more natural that and maybe give give you more options when you're translating moral equivalence maybe I don't know something like this.	
38:58.2 - 39:07.0	Interviewer: yeah is there anything else, that you would like to comment on the experiment or or reviewing or translation or machine translation or literary translation.	
39:14.5 - 39:19.7	R3CA: It was it was it was really it was really nice, I mean to.	
39:19.7 - 39:33.0	R3CA: See the inner workings of the text and everything it was difficult to sometimes to name to put the category of the things, because this is sometimes it was very subjective and sometimes.	
39:34.6 - 39:44.5	R3CA: The attack was good, but maybe you didn't really know because that happened to me like Oh, this is okay, maybe I would say something else, but I don't really see.	
39:45.5 - 39:50.5	R3CA: Oh, I didn't really occur to me what name could be better for that category or something so.	
39:50.8 - 39:52.9	Interviewer: That was difficult sometimes, how do you.	
39:53.3 - 39:54.6	R3CA: categorize something.	
39:57.3 - 39:58.5	R3CA: But I don't know.	
40:00.5 - 40:06.4	R3CA: I really don't use, for example, just changing the topic I didn't really I didn't use a machine translation for.	
40:07.3 - 40:13.8	R3CA: For literary you or whatever, because well that's mainly that the field, I work with and I feel that.	
40:14.2 - 40:26.4	R3CA: It is very difficult to find something that works for you obviously the engines that you can find for free or or whatever they are not the same as you can develop in a university or or.	
40:27.9 - 40:29.2	R3CA: Or, as an institution.	
40:29.4 - 40:38.5	Interviewer: But yeah but, for example, do you use DeepL or Google translate for certain expressions at all or or.	
40:38.5 - 40:39.4	R3CA: Sometimes yeah.	
40:39.4 - 40:46.2	R3CA: Sometimes yeah especially, for example, for things like between Catalan Spanish Spanish Catalan because.	
40:46.9 - 40:58.2	R3CA: They are so similar that for standard things they can help you DeepL doesn't have Catalan, I think, so that doesn't have then Catalan English I tried.	
40:59.2 - 41:10.5	R3CA: I don't think neither of them are good nor a Google or DeepL there's these other option a friend told me that she that he uses, which is Apertium.	
41:11.2 - 41:12.3	R3CA: that's from the University of Alacant.	
41:15.1 - 41:20.8	R3CA: But also, there are lots of mistakes and lots of things untranslated, so he uses that a lot and.	
41:21.6 - 41:24.8	Interviewer: But for literary texts or for other type of texts?	
41:25.3 - 41:27.1	R3CA: Not not for literary, no I.	
41:27.4 - 41:37.9	R3CA: I don't think i've tried sometimes, but I no because they're not really helpful some things I just try and it's like not really because sometimes if.	
41:39.0 - 41:49.9	R3CA: I mean if if that could make your work like faster than you say Okay, I can use that but for literary I didn't really I don't really see that i've tried like couple of times, some time ago, but I didn't really see that.	
41:50.4 - 41:55.6	R3CA: The engine is so good that that can make my work faster so.	
41:56.6 - 42:04.1	R3CA: I mean, as a means of maybe mmm getting all the vocabulary, so you then have to go to the dictionary then.	
42:04.4 - 42:11.5	R3CA: Be because I feel sometimes that i'm checking in the dictionary things that I already know what it looks like I really have to.	
42:13.3 - 42:23.5	R3CA: Look them up again and then for these that could be a help, but when it depends, you know if the word has different meanings and it depends on the context and then.	
42:24.0 - 42:38.3	R3CA: Sometimes it it really makes you go crazy so for literary that's why I don't I them use that just for like touristic kind of text or text which are like very simple, but not for novels not for books, because I feel like.	
42:40.0 - 42:48.6	R3CA: You really need to change lots of things and not just the not just the way the dialogues go and everything, but many other things.	
42:50.3 - 43:10.0	R3CA: But, as I say, I mean, for example in English Catalan there's nothing that can it's not really DeepL doesn't have it and Google also I mean does it but but it's not that good so so no not really and I feel like, then you have to be like touching and changing lots of thing so.	
43:11.6 - 43:16.8	R3CA: it's not very practical at the moment I don't know, maybe in the near future, but not right now.	
43:19.2 - 43:19.8	Interviewer: Okay.	
43:20.9 - 43:23.8	Interviewer: So i'm going to stop the recording now.	
