0:10.4 - 0:22.2	Interviewer: Could you give me your general views on reviewing these three texts.	
35:12.0 - 35:17.0	R5NL: Too strange for the Dutch reader or more strange than the original etc okay.	
35:18.1 - 35:30.6	R5NL: And, but it's it's kind of a first thing that you do is look as it is look at does it strike the eye in some way? that's what is something that the reader does, too, that's why I ask my students to do as well.	
35:31.4 - 35:39.0	R5NL: Does it is something going on there, and why is it because it's not as idiomatic and why isn't not idiomatic.	
35:40.4 - 35:40.7	R5NL: Did.	
35:42.5 - 35:50.0	R5NL: that the positive to do something there, and after you look at the idiom or something else, I think I wrote it down.	
36:01.5 - 36:02.0	R5NL: hold on.	
36:10.5 - 36:10.8	R5NL: Okay, sorry.	
36:12.8 - 36:13.5	Interviewer: No problem.	
36:14.5 - 36:16.5	Interviewer: What I wanted to ask you is that, by.	
36:17.0 - 36:18.5	Interviewer: doing the creative shifts.	
36:20.1 - 36:23.5	Interviewer: Was that, in your view.	
36:24.8 - 36:30.9	Interviewer: Something that made you reflect about the translation or.	
36:32.0 - 36:35.6	Interviewer: Did you have this impression that it was a bit artificial.	
36:37.1 - 36:39.6	R5NL: It did seem a bit artificial sorry.	
36:44.1 - 36:44.8	R5NL: A technical problem.	
36:45.1 - 36:45.8	Interviewer: Yes, okay.	
36:48.5 - 36:57.1	R5NL: I did feel like a lot of things fall into the same category, both in the first and then the second task.	
37:00.2 - 37:03.6	R5NL: yeah non idiomatic because that's where I look at very often.	
37:05.2 - 37:05.8	R5NL: and	
37:07.6 - 37:11.8	R5NL: Yes, and it wasn't perfect, it was workable.	
37:12.6 - 37:15.3	Interviewer: Okay yeah how would you do it?	
37:15.7 - 37:17.0	R5NL: yeah that's what I was trying to say.	
37:20.8 - 37:21.3	R5NL: Sorry.	
37:23.6 - 37:25.8	R5NL: If I find it i'm going to send it to.	
37:25.8 - 37:29.9	R5NL: me it's like you look at idioms and then you look at something else but i've got what it is.	
37:31.0 - 37:31.7	Interviewer: We can.	
37:31.9 - 37:32.6	Interviewer: We can.	
37:34.6 - 37:38.1	Interviewer: Set up something to do in common.	
37:39.7 - 37:40.0	R5NL: oh Really?	
37:42.5 - 37:53.2	R5NL: yeah okay so i'm not a scientist right now i'm a teacher at the university but i'm not a scientist, but i've been asked to write a PhD.	
37:54.4 - 37:55.3	Interviewer: huh yeah.	
37:55.4 - 38:00.6	R5NL: So I have to think about what I want to do... categores are very interesting I have to admit.	
38:01.0 - 38:01.8	R5NL: yeah.	
38:01.9 - 38:04.5	Interviewer: So you have to do the PhD.	
38:04.6 - 38:04.9	R5NL: yep.	
38:07.0 - 38:13.3	R5NL: yep as a PhD student i'm definitely not... and the thing is.	
38:15.1 - 38:29.4	R5NL: My health is not 100% and I do have problems just doing things that i'm doing right now so i'm not exactly looking forward to taking up this huge amounts of work than a PhD is so.	
38:31.2 - 38:40.0	R5NL: yeah i'm trying i'm working on my health is going to have to but it's it's good to have to wait for them until I feel better yeah so right now.	
38:41.2 - 38:41.4	R5NL: But.	
38:42.3 - 38:48.1	Interviewer: yeah maybe I stop the recording now and we can discuss this off the record.	
38:49.1 - 38:50.0	Interviewer: Right yeah.	
38:51.3 - 38:51.9	I just.	
