0:09.8 - 0:11.4	Interviewer: I you want to answer that, I	
35:59.1 - 36:00.8	Interviewer: So it is not useful for you?	
36:00.9 - 36:02.6	T4NL: Sometimes a little bit. Yes.	
36:04.7 - 36:05.3	Interviewer: Okay.	
36:05.6 - 36:07.7	Interviewer: So how do you use it.	
36:07.9 - 36:13.2	Interviewer: What kind of things do you use Google Translate for words or for	
36:14.8 - 36:19.3	Interviewer: I don't know restaurant pages. I don't know how do you use it.	
36:19.5 - 36:20.6	T4NL: Not just for words.	
36:20.9 - 36:22.8	Interviewer: Just for our words. Okay.	
36:24.8 - 36:31.6	Interviewer: Okay, so is there anything else that you would like to mention in this interview.	
36:33.7 - 36:40.0	Interviewer: About translation about literary translation about machine translation, whatever you want to mention	
36:42.9 - 36:47.1	T4NL: Well, I mentioned already, the type of type of errors that there are still.	
36:49.1 - 36:50.4	T4NL: Involved in the	
36:51.7 - 36:53.2	T4NL: machine translations.	
36:54.3 - 36:56.8	T4NL: I think I mentioned already, what I	
36:58.2 - 36:59.3	T4NL: What I wanted to say.	
37:02.9 - 37:05.8	T4NL: Yeah, I don't know if it's useful for you because	
37:08.5 - 37:20.0	T4NL: There's an emotional component in this because I get emotionally a little bit upset and irritated if I see	
37:21.4 - 37:25.4	T4NL: If I see all these errors. I get you know it's it's	
37:27.8 - 37:40.6	T4NL: It's like Jesus. What are this, what are they doing because like I get. It's not like this. Let me make let me change it into this, I get upset about it if I don't like it at all.	
37:41.3 - 37:53.8	T4NL: I can tell you on the sideline as I can, I can tell you I have, you know, I'm a book translator, but sometimes I have, I have one other outside client, which is commercial commercial client and I	
37:54.3 - 38:01.5	T4NL: Was like I translate for a fee **** in Holland and I translate	
38:03.2 - 38:07.0	T4NL: Like press releases and the website texts and	
38:08.1 - 38:15.0	T4NL: Publicity texts or this, for this guy for this company and he sometimes he sends me	
38:17.3 - 38:25.0	T4NL: A suggestion of the the text are in English, but he sends me the a Google Translate proposal.	
38:26.5 - 38:35.7	T4NL: And I've, you know, and so I have to edit and edit and edit and post-edit and change everything. And I've even told him, please don't send me	
38:36.9 - 38:46.5	T4NL: anymore. I don't. I refuse to work it does kind of terrible because they are too upsetting to me, you know. So I prefer much more to have the original English	
38:49.6 - 38:56.9	Interviewer: Is this feeling ever positive? Do you ever encounter a sentence where you go, Oh, well that's good?	
39:01.0 - 39:02.7	T4NL: Well, and in...in yeah...	
39:04.4 - 39:19.6	T4NL: The very, very minimal. And it did happen in this text in to be or not to be, it happens that sometimes I thought okay, this is acceptable. This is acceptable. This can pass without editing little parts were quite okay. Okay.	
39:20.8 - 39:30.1	T4NL: But that was only you can I don't know because you saw yourself all the differences I have made the changes I made from the	
39:31.2 - 39:35.2	T4NL: From the machine text and my post editing.	
39:36.5 - 39:40.1	T4NL: It's a lot. Now it's almost everywhere that you see this	
39:41.1 - 39:45.4	Interviewer: I need to look at all the data to see all the changes.	
39:45.5 - 39:46.2	T4NL: Yeah, you	
39:46.3 - 39:49.4	T4NL: See it. This is a lot. It's a lot of work.	
39:51.1 - 39:54.0	T4NL: So you mean all this extra work this	
39:55.0 - 39:56.0	T4NL: Is not so	
39:57.3 - 39:59.1	T4NL: For me it doesn't have much value.	
40:01.5 - 40:02.2	Interviewer: Okay.	
40:03.6 - 40:06.3	Interviewer: So I'm going to stop the recording then	
40:06.7 - 40:07.4	All right.	
