0:02.2 - 0:03.9	Interviewer: Okay so we are recording	
36:01.4 - 36:09.3	T1CA: I would probably go for which I hate... translating a Swedish from English, which is what they made from	
36:11.8 - 36:13.3	T1CA: Scratch with you.	
36:14.5 - 36:18.4	T1CA: Which is not good because you have just bridges and bridges of languages.	
36:18.5 - 36:19.5	Interviewer: Yeah, relay translation.	
36:20.6 - 36:21.2	T1CA: Yeah.	
36:21.5 - 36:23.9	T1CA: But I would probably rely on that rather than on automatic translation.	
36:27.9 - 36:28.5	Interviewer: Right.	
36:29.5 - 36:35.0	Interviewer: And is there anything else that you would like to tell us	
36:35.4 - 36:37.8	T1CA: Oh, no.	
36:38.9 - 36:39.3	T1CA: Now,	
36:39.3 - 36:42.7	Interviewer: About the machine translation or tools or	
36:43.0 - 36:44.6	Interviewer: Literary translation.	
36:45.0 - 36:45.7	Or	
36:47.2 - 36:48.3	T1CA: I don't know.	
36:50.0 - 36:50.5	T1CA: No.	
36:50.9 - 36:55.0	Interviewer: Do you think publishing houses will use MT in the future.	
36:56.3 - 36:57.0	Interviewer: Or are they using MT?	
36:58.0 - 37:02.7	T1CA: Probably some of them. The big ones translating	
37:04.3 - 37:05.3	T1CA: Cheap literature.	
37:06.4 - 37:10.3	T1CA: I mean in some books. It's not very important the quality	
37:10.8 - 37:11.8	Interviewer: Which books?	
37:19.3 - 37:24.7	T1CA: I don't wanna say it! There are some so in literature there are some books which are	
37:26.0 - 37:34.1	T1CA: And I know which make culture, language, bigger, and there are some books that are just entertaining.	
37:35.4 - 37:46.2	T1CA: So like some best sellers doesn't mean that all best sellers are like this, but many of them. So I translated one woman who is bestselling and	
37:47.2 - 38:01.6	T1CA: her use of languages terrible... lots of repetition and cliches and "he bits his lip", I donÂ´t know, this sentence of biting the lip it was like 20 times in in in in 20 pages...so, oh, no, please....	
38:02.4 - 38:05.2	T1CA: So that you can translate with machine translation because	
38:06.9 - 38:08.9	T1CA: There's no creativity in the in the source text.	
38:10.0 - 38:20.0	T1CA: That would like yeah cliches know the collocations are always the same, it is a question of collocations. In the end, good literary work doesn't use any	
38:21.5 - 38:37.3	T1CA: Usual colocation. It makes you, it twists the usual use of language and goes beyond that. So, for that machine translation doesn't make sense. But for someone who doesn't really love language, but who loves plots.	
38:38.6 - 38:49.6	T1CA: And you can maybe use probably and I donÂ´t know, yeah, these kind of book sometimes they just split it... so okay you translate half the book and another one translates the other half book. So there's no	
38:50.1 - 38:58.0	T1CA: style unity at all. So it doesn't matter because people who read that they don't care about that. So why should we care. Well,	
38:59.2 - 39:05.1	T1CA: We should care. But I mean, maybe with that books or with essays, which are not so	
39:07.6 - 39:22.3	T1CA: The language, the use of language in essays is not so emotional know in a novel the use of language is emotional, every word has some emotion hidden in it and it's important, but with essays the important thing is the meaning what's being said	
39:24.3 - 39:30.8	T1CA: so maybe there machine translation, I guess. Yeah. And the big publishing houses. I know. Random House and all this.	
39:31.9 - 39:38.2	T1CA: They probably they will they are wanting they're willing to to lower the translation cost.	
39:39.8 - 39:43.0	T1CA: So maybe they will try it probably	
39:45.6 - 39:46.2	Interviewer: Okay.	
39:47.9 - 39:57.1	Interviewer: Did you find that in this experiment that your creativity was constrained by the use of MT.	
40:01.1 - 40:01.7	T1CA: I donÂ´t know,	
40:03.4 - 40:04.0	Interviewer: Or did you	
40:04.1 - 40:08.1	T1CA: A little bit probably a little bit because even though you don't realize	
40:08.8 - 40:09.4	T1CA: It's like	
40:11.4 - 40:12.6	T1CA: You have to	
40:14.8 - 40:22.0	T1CA: You don't have to make so much thinking if you have a proposal. So in the end, probably part of the creativity is	
40:23.4 - 40:26.7	T1CA: Is lost yeah the the impression is that	
40:28.4 - 40:36.0	T1CA: Machine translation lowers the effort. So you don't need so much effort now but	
40:37.4 - 40:46.7	T1CA: I don't know why it would be interesting to see the first part. And the second part, if they are really the same. So when I suppose that you will	
40:47.9 - 40:53.6	T1CA: Tell us if both are the qualities, the same or one of his better than the other.	
40:55.1 - 41:04.2	T1CA: It would be very interesting to know us one, one thing is the subjective impression. And the other thing is the reader impression impression. So, yeah.	
41:05.2 - 41:10.5	T1CA: I don't know, because I'm inside, so I cannot be sure about that. I don't have the distance	
41:10.9 - 41:11.3	Yeah.	
41:12.8 - 41:13.1	Interviewer: Yeah.	
41:14.6 - 41:17.2	Interviewer: So if you don't have any other comments.	
41:17.2 - 41:19.1	Interviewer: I'm going to stop the recording.	
41:19.4 - 41:21.8	Interviewer: Okay, before I say goodbye.	
41:28.5 - 41:29.0	Okay.	
