0:02.5 - 0:06.2	Interviewer: So good morning good good good good afternoon.	
36:10.3 - 36:15.2	R4NL: i'm not sure how that relates to your research question is what was your.	
36:15.3 - 36:27.2	Interviewer: Something has to give because if you do it the other way around, if you start with C then it may influence the other two, so no matter how you do it.	
36:29.0 - 36:34.4	R4NL: For B and, if you will take three different texts and like and weren't.	
36:34.4 - 36:37.5	Interviewer: Then you cannot compare them because they are different texts.	
36:37.6 - 36:39.3	Interviewer: Different creativity.	
36:40.0 - 36:41.1	Interviewer: A.	
36:43.4 - 36:46.1	Interviewer: Even different translators a.	
36:46.3 - 36:50.7	R4NL: yeah yeah that there's always every translator translates in a different way.	
36:51.3 - 36:56.2	Interviewer: So, so the only way to do it and.	
36:57.3 - 37:02.9	Interviewer: The other thing could be to do things out of context so paragraphs.	
37:04.1 - 37:04.4	Interviewer: Right.	
37:05.3 - 37:08.2	R4NL: yeah i'm not sure if that will work with literary texts, because the text is so interconnected.	
37:08.6 - 37:24.7	Interviewer: And also, but even if it was short, very very short stories, then the second part of the research is on engagement of the readers So then, if you don't have a.	
37:26.6 - 37:30.9	Interviewer: sort of the story to read or so short as.	
37:31.4 - 37:33.7	Interviewer: How can I measure an engagement right.	
37:33.9 - 37:53.6	Interviewer: Right, so there are many constraints in research, I wanted to ask you, since you brought this up, what did you think of classifying the creative shifts What did you think of the units that were selected and what did you think of classifying these creative shifts and reproductions.	
37:56.7 - 38:04.3	R4NL: Well, I think that was also like with the acceptability, sometimes I got the feeling that it was hard to.	
38:05.3 - 38:12.9	R4NL: limit my comments into one category like sometimes I was like oh it's kind of in between something or like.	
38:14.3 - 38:16.9	R4NL: So yeah that that made it hard, because you had to choose.	
38:18.2 - 38:21.8	R4NL: So, like I did I did try to specify by putting in a comment.	
38:23.2 - 38:30.2	R4NL: But yeah that that was, I think the hardest part put it into one specific category when you would rather just.	
38:31.3 - 38:37.0	R4NL: elaborate and explain exactly why you thought it was not good or yeah.	
38:37.6 - 38:43.9	Interviewer: But did it make you see creativity in a different way to note these creative shifts?	
38:46.1 - 38:50.4	R4NL: Well, I think it made me more aware, maybe you have how many times.	
38:51.7 - 39:01.2	R4NL: You are causing a creative shift as a literary translator because normally when I translate I don't really think about all the shifts.	
39:01.6 - 39:02.4	R4NL: That occurred.	
39:02.8 - 39:10.3	R4NL: I think it made me more aware of, especially compared to a more literal translation, like the machine translation.	
39:10.8 - 39:19.3	R4NL: It made me more aware of how important creativity is and how big a part it plays in in literary translationtion I guess.	
39:21.0 - 39:21.4	Interviewer: yeah.	
39:22.4 - 39:25.6	Interviewer: that's interesting and.	
39:28.1 - 39:31.5	Interviewer: I think this is also the novelty of the.	
39:33.0 - 39:41.6	Interviewer: Of this analysis that we work that you did, together with me or, together with the whole team.	
39:43.2 - 40:06.9	Interviewer: Is that it's not very often that we see that kind of analysis, sometimes we only see error so or or reception of the text, but not so much how many times, these translators chose to use something different that wasn't a very literal translation right.	
40:08.0 - 40:15.9	R4NL: Right yeah I think usually it's just very intuitive because we think about that, when you're doing it as a translator.	
40:16.9 - 40:18.1	R4NL: But then they think see.	
40:18.3 - 40:26.2	Interviewer: This text has had a lot of units of creative potential, so this text was chosen.	
40:26.2 - 40:29.8	Interviewer: deliberately because he had to make you think.	
40:30.6 - 40:36.5	Interviewer: and other text, I think, allow for a more standard a.	
40:37.6 - 40:42.0	Interviewer: equivalence is you know what I mean, even in literary texts.	
40:42.2 - 40:47.0	R4NL: Sure there's a lot of there's big differences in how creative, you need to be.	
40:47.0 - 40:50.3	Interviewer: Exactly and also sometimes it's the story the driver.	
40:54.3 - 40:58.5	Interviewer: The story keeps moving and being interesting.	
40:58.7 - 41:01.3	R4NL: Sometimes the plot is more important than style that's.	
41:01.3 - 41:02.3	R4NL: Definitely true yeah.	
41:04.1 - 41:05.2	Interviewer: Anything else.	
41:08.4 - 41:17.0	R4NL: Well, I was wondering how many people worked on this much part of the study like how many so you said there were two translators.	
41:17.3 - 41:19.5	Interviewer: To translators and three reviewers, so five.	
41:19.6 - 41:20.9	R4NL: So you know.	
41:22.4 - 41:23.8	Interviewer: And five Catalans.	
41:24.0 - 41:32.5	R4NL: And, like the other i'm curious what were the other reviewers reactions to these three texts like where.	
41:32.6 - 41:35.8	Interviewer: The same as you... the same as you.	
41:37.2 - 41:37.7	R4NL: interesting.	
41:38.8 - 41:41.8	Interviewer: In the two languages.	
41:43.4 - 41:46.8	R4NL: Cause you did the Catalan and the Dutch, are you going to do any other language or.	
41:46.9 - 41:47.2	Interviewer: I don't.	
41:51.4 - 41:52.2	R4NL: No, I guess.	
41:54.1 - 42:01.5	Interviewer: I know so and i'm going to stop the recording and then I tell you I do a debriefing a proper debreafing.	
